providedScientificName,taxonId,acceptedTaxonId,parentTaxonId,scientificName,canonicalName,authorship,status,acceptedScientificName,classification,kingdom,phylum,class,order,family,genus
Pinnipedia,urn:lsid:marinespecies.org:taxname:148736,urn:lsid:marinespecies.org:taxname:148736,urn:lsid:marinespecies.org:taxname:254957,Pinnipedia,Pinnipedia,,accepted,Pinnipedia,"SUBORDER:Caniformia|ORDER:Carnivora|SUBCLASS:Theria|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|INFRAPHYLUM:Gnathostomata von Zittel, 1879|SUBPHYLUM:Vertebrata|PHYLUM:Chordata Haeckel, 1874|KINGDOM:Animalia|UNRANKED:Biota",Animalia,"Chordata Haeckel, 1874","Mammalia Linnaeus, 1758",Carnivora,,
Cetacea,urn:lsid:marinespecies.org:taxname:2688,urn:lsid:marinespecies.org:taxname:2688,urn:lsid:marinespecies.org:taxname:370545,"Cetacea Brisson, 1762",Cetacea,"Brisson, 1762",accepted,"Cetacea Brisson, 1762","SUBORDER:Cetancodonta Arnason, Gullberg, Gretasdottir, Ursing & Janke, 2000|ORDER:Cetartiodactyla Montgelard, Catzeflis & Douzery, 1997|SUBCLASS:Theria|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|INFRAPHYLUM:Gnathostomata von Zittel, 1879|SUBPHYLUM:Vertebrata|PHYLUM:Chordata Haeckel, 1874|KINGDOM:Animalia|UNRANKED:Biota",Animalia,"Chordata Haeckel, 1874","Mammalia Linnaeus, 1758","Cetartiodactyla Montgelard, Catzeflis & Douzery, 1997",,
Sirenia,urn:lsid:marinespecies.org:taxname:159502,urn:lsid:marinespecies.org:taxname:159502,urn:lsid:marinespecies.org:taxname:380416,"Sirenia Illiger, 1811",Sirenia,"Illiger, 1811",accepted,"Sirenia Illiger, 1811","SUBCLASS:Theria|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|INFRAPHYLUM:Gnathostomata von Zittel, 1879|SUBPHYLUM:Vertebrata|PHYLUM:Chordata Haeckel, 1874|KINGDOM:Animalia|UNRANKED:Biota",Animalia,"Chordata Haeckel, 1874","Mammalia Linnaeus, 1758",,,
Enhydra lutris,urn:lsid:marinespecies.org:taxname:242598,urn:lsid:marinespecies.org:taxname:242598,urn:lsid:marinespecies.org:taxname:242597,"Enhydra lutris (Linnaeus, 1758)",Enhydra lutris,"(Linnaeus, 1758)",accepted,"Enhydra lutris (Linnaeus, 1758)","GENUS:Enhydra Fleming, 1822|SUBFAMILY:Lutrinae Bonaparte, 1838|FAMILY:Mustelidae Fischer, 1817|SUBORDER:Caniformia|ORDER:Carnivora|SUBCLASS:Theria|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|INFRAPHYLUM:Gnathostomata von Zittel, 1879|SUBPHYLUM:Vertebrata|PHYLUM:Chordata Haeckel, 1874|KINGDOM:Animalia|UNRANKED:Biota",Animalia,"Chordata Haeckel, 1874","Mammalia Linnaeus, 1758",Carnivora,"Mustelidae Fischer, 1817","Enhydra Fleming, 1822"
Lontra felina,urn:lsid:marinespecies.org:taxname:343992,urn:lsid:marinespecies.org:taxname:477316,urn:lsid:marinespecies.org:taxname:477316,"Lontra felina (Molina, 1782)",Lontra felina,"(Molina, 1782)",synonym,"Lutra felina (Molina, 1782)","SPECIES:Lutra felina (Molina, 1782)|GENUS:Lutra Brisson, 1762|FAMILY:Mustelidae Fischer, 1817|SUBORDER:Caniformia|ORDER:Carnivora|SUBCLASS:Theria|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|INFRAPHYLUM:Gnathostomata von Zittel, 1879|SUBPHYLUM:Vertebrata|PHYLUM:Chordata Haeckel, 1874|KINGDOM:Animalia|UNRANKED:Biota",Animalia,"Chordata Haeckel, 1874","Mammalia Linnaeus, 1758",Carnivora,"Mustelidae Fischer, 1817","Lutra Brisson, 1762"
Lontra canadensis,urn:lsid:marinespecies.org:taxname:159017,urn:lsid:marinespecies.org:taxname:159017,urn:lsid:marinespecies.org:taxname:159016,"Lontra canadensis Schreber, 1777",Lontra canadensis,"Schreber, 1777",accepted,"Lontra canadensis Schreber, 1777","GENUS:Lontra Gray, 1843|FAMILY:Mustelidae Fischer, 1817|SUBORDER:Caniformia|ORDER:Carnivora|SUBCLASS:Theria|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|INFRAPHYLUM:Gnathostomata von Zittel, 1879|SUBPHYLUM:Vertebrata|PHYLUM:Chordata Haeckel, 1874|KINGDOM:Animalia|UNRANKED:Biota",Animalia,"Chordata Haeckel, 1874","Mammalia Linnaeus, 1758",Carnivora,"Mustelidae Fischer, 1817","Lontra Gray, 1843"
Ursus maritimus,urn:lsid:marinespecies.org:taxname:137085,urn:lsid:marinespecies.org:taxname:137085,urn:lsid:marinespecies.org:taxname:137011,"Ursus maritimus Phipps, 1774",Ursus maritimus,"Phipps, 1774",accepted,"Ursus maritimus Phipps, 1774","GENUS:Ursus Linnaeus, 1758|FAMILY:Ursidae Fischer, 1817|SUBORDER:Caniformia|ORDER:Carnivora|SUBCLASS:Theria|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|INFRAPHYLUM:Gnathostomata von Zittel, 1879|SUBPHYLUM:Vertebrata|PHYLUM:Chordata Haeckel, 1874|KINGDOM:Animalia|UNRANKED:Biota",Animalia,"Chordata Haeckel, 1874","Mammalia Linnaeus, 1758",Carnivora,"Ursidae Fischer, 1817","Ursus Linnaeus, 1758"
