providedScientificName,taxonId,acceptedTaxonId,parentTaxonId,scientificName,canonicalName,authorship,status,acceptedScientificName,classification,kingdom,phylum,class,order,family,genus
Agnatha,urn:lsid:marinespecies.org:taxname:1829,urn:lsid:marinespecies.org:taxname:1829,urn:lsid:marinespecies.org:taxname:146419,"Agnatha Cope, 1889",Agnatha,"Cope, 1889",accepted,"Agnatha Cope, 1889","SUBPHYLUM:Vertebrata|PHYLUM:Chordata Haeckel, 1874|KINGDOM:Animalia|UNRANKED:Biota",Animalia,"Chordata Haeckel, 1874",,,,
Chondrichthyes,urn:lsid:marinespecies.org:taxname:1517375,urn:lsid:marinespecies.org:taxname:1517375,urn:lsid:marinespecies.org:taxname:1828,Chondrichthyes,Chondrichthyes,,accepted,Chondrichthyes,"INFRAPHYLUM:Gnathostomata von Zittel, 1879|SUBPHYLUM:Vertebrata|PHYLUM:Chordata Haeckel, 1874|KINGDOM:Animalia|UNRANKED:Biota",Animalia,"Chordata Haeckel, 1874",,,,
Osteichthyes,urn:lsid:marinespecies.org:taxname:152352,urn:lsid:marinespecies.org:taxname:152352,urn:lsid:marinespecies.org:taxname:1828,Osteichthyes,Osteichthyes,,accepted,Osteichthyes,"INFRAPHYLUM:Gnathostomata von Zittel, 1879|SUBPHYLUM:Vertebrata|PHYLUM:Chordata Haeckel, 1874|KINGDOM:Animalia|UNRANKED:Biota",Animalia,"Chordata Haeckel, 1874",,,,
